Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 79/200 /// Total reward: 11.023272692662834
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 80/200 /// Total reward: 11.688212663613124
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 81/200 /// Total reward: 11.025265428688945
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 82/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 83/200 /// Total reward: 10.524486575690352
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 84/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 85/200 /// Total reward: 11.691152076756689
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 86/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 87/200 /// Total reward: 9.524487574759247
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 88/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 89/200 /// Total reward: 1.5244378503614815
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 90/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 91/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 92/200 /// Total reward: 10.833380221742209
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 93/200 /// Total reward: 11.02443507284959
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 94/200 /// Total reward: 11.690319296946525
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 95/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 96/200 /// Total reward: 11.025265421939901
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 97/200 /// Total reward: 11.191152589786237
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 98/200 /// Total reward: 10.691102959899128
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 99/200 /// Total reward: 10.691932431411148
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 100/200 /// Total reward: 10.191932935384495
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 101/200 /// Total reward: 11.690319313042954
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 102/200 /// Total reward: 12.187428681150765
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 103/200 /// Total reward: 4.857825573105117
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 104/200 /// Total reward: 10.357820077657207
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 105/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 106/200 /// Total reward: 10.356987295804524
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 107/200 /// Total reward: 10.357820072213046
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 108/200 /// Total reward: 9.025267435383716
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 109/200 /// Total reward: 10.688262830883529
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 110/200 /// Total reward: 11.191154069692173
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 111/200 /// Total reward: 11.024486077844221
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 112/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 113/200 /// Total reward: 10.669933587352391
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 114/200 /// Total reward: 12.021543715617247
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 115/200 /// Total reward: 11.02159582733916
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 116/200 /// Total reward: 10.524486577860378
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 117/200 /// Total reward: 11.024486078273872
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 118/200 /// Total reward: 9.690435245473411
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 119/200 /// Total reward: 9.857482833090595
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 120/200 /// Total reward: 10.665482193215015
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 121/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 122/200 /// Total reward: 10.501325338342609
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 123/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 124/200 /// Total reward: 10.690436638327801
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 125/200 /// Total reward: 6.523367718804641
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 126/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 127/200 /// Total reward: 11.524487070357834
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 128/200 /// Total reward: 10.857819575153465
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 129/200 /// Total reward: 11.025265445699057
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 130/200 /// Total reward: 10.358217963555989
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 131/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 132/200 /// Total reward: 10.856986791074133
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 133/200 /// Total reward: 10.858598932164663
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 134/200 /// Total reward: 9.523768741992091
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 135/200 /// Total reward: 10.52448657925517
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 136/200 /// Total reward: 10.358599435686669
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 137/200 /// Total reward: 10.358599432127873
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 138/200 /// Total reward: 11.69115357181119
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 139/200 /// Total reward: 10.191932824406168
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 140/200 /// Total reward: 10.691932432733067
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 141/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 142/200 /// Total reward: 10.191932933396677
